年度,大職業別,經常性薪資-薪資,經常性薪資-女/男,國中及以下-薪資,國中及以下-女/男,高中或高職-薪資,高中或高職-女/男,專科-薪資,專科-女/男,大學-薪資,大學-女/男,研究所-薪資,研究所-女/男
2018,教育業-技藝_機械設備操作及組裝人員,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— 
2018,教育業-基層技術工及勞力工,… ,… ,… ,… ,… ,… ,— ,— ,— ,— ,— ,— 
2018,醫療保健業,27739,99.48,23397,99.77,24193,99.63,26284,99.54,29590,99.46,34436,99.93
2018,醫療保健業-專業人員,36094,99.84,— ,— ,— ,— ,— ,— ,34270,99.71,38677,99.87
2018,醫療保健業-技術員及助理專業人員,30387,99.58,— ,— ,— ,— ,28068,99.51,30556,99.46,33798,100
2018,醫療保健業-事務支援人員,25640,99.58,— ,— ,23643,99.85,24796,99.7,26177,99.56,29573,99.96
2018,醫療保健業-服務及銷售工作人員,25171,99.72,24001,99.72,24517,99.84,25478,99.6,26549,99.77,— ,— 
2018,醫療保健業-技藝_機械設備操作及組裝人員,27486,99.65,— ,— ,25840,99.11,27424,99.8,29165,99.86,— ,— 
2018,醫療保健業-基層技術工及勞力工,23125,99.9,22913,99.85,23301,99.97,— ,— ,— ,— ,— ,— 
2018,藝術_娛樂及休閒服務業,26006,99.04,23940,99.57,24386,99.15,25618,99.27,27147,98.71,29780,98.46
2018,藝術_娛樂及休閒服務業-專業人員,30816,98.54,— ,— ,— ,— ,— ,— ,29955,98.52,32049,98.45
2018,藝術_娛樂及休閒服務業-技術員及助理專業人員,27829,98.91,— ,— ,— ,— ,27305,99.46,27887,98.47,28599,98.88
2018,藝術_娛樂及休閒服務業-事務支援人員,25854,98.89,— ,— ,24420,98.83,25248,99.22,26611,98.89,28833,98.08
2018,藝術_娛樂及休閒服務業-服務及銷售工作人員,24608,99.47,24130,99.63,24270,99.26,24611,99.54,25273,99.45,— ,— 
2018,藝術_娛樂及休閒服務業-技藝_機械設備操作及組裝人員,26236,98.64,— ,— ,25432,98.92,26141,97.96,27180,98.93,— ,— 
2018,藝術_娛樂及休閒服務業-基層技術工及勞力工,23993,99.47,23795,99.52,24142,99.44,— ,— ,— ,— ,— ,— 
2018,其他服務業,24614,99.23,22763,99.44,23340,99.23,24422,99.28,25781,99.06,31909,99.14
2018,其他服務業-專業人員,31875,99.23,— ,— ,— ,— ,— ,— ,30240,98.31,34510,100
2018,其他服務業-技術員及助理專業人員,27368,98.95,— ,— ,— ,— ,26360,98.26,27315,98.97,31110,100
2018,其他服務業-事務支援人員,25347,98.85,— ,— ,23608,99.15,24607,98.95,26115,99.32,30830,98.47
2018,其他服務業-服務及銷售工作人員,23065,99.61,22816,99.36,22871,99.66,23233,99.75,23443,99.47,— ,— 
2018,其他服務業-技藝_機械設備操作及組裝人員,24756,99.19,— ,— ,24057,98.38,24927,99.83,25547,99.42,— ,— 
2018,其他服務業-基層技術工及勞力工,22826,99.69,22635,99.61,22956,99.74,— ,— ,— ,— ,— ,— 
